model_type,train_time,mse,gini,num_class,eval_metric,best_nround,colsample_bytree,max_depth,lambda,eta,objective,tree_method,subsample,num_round,early_stopping_rounds,max_bin
xgboost,0.508462492,23.91454866626902,0.9336108854589764,0,rmse,137,0.8,8,0,0.05,reg:squarederror,hist,1.0,500,5,64
xgboost,0.033719977,21.620512244556295,0.9332994855131334,0,rmse,133,1.0,4,1,0.05,reg:squarederror,hist,0.6,500,5,64
xgboost,0.02899053,20.056374043014188,0.9362510154346063,0,rmse,117,0.8,4,0,0.05,reg:squarederror,hist,0.6,500,5,64
xgboost,0.031366793,19.5704475914327,0.9387963715136745,0,rmse,128,0.8,4,1,0.05,reg:squarederror,hist,1.0,500,5,64
xgboost,0.068960926,26.63784740967893,0.9331437855402113,0,rmse,110,0.4,10,0,0.05,reg:squarederror,hist,0.4,500,5,64
xgboost,0.083448354,21.701287550017405,0.9456742485783916,0,rmse,118,0.4,10,0,0.05,reg:squarederror,hist,0.6,500,5,64
xgboost,0.075598795,22.079192759110242,0.9445369618196585,0,rmse,130,1.0,10,1,0.05,reg:squarederror,hist,0.4,500,5,64
xgboost,0.055909062,24.45902412748999,0.9333874898456543,0,rmse,229,0.4,4,10,0.05,reg:squarederror,hist,0.6,500,5,64
xgboost,0.037982684,28.757278745007547,0.9322434335228815,0,rmse,87,1.0,6,0,0.05,reg:squarederror,hist,1.0,500,5,64
xgboost,0.146705019,22.44391912905927,0.9261779041429731,0,rmse,225,0.8,10,10,0.05,reg:squarederror,hist,1.0,500,5,64
xgboost,0.085283182,23.466566573526254,0.9327917682101273,0,rmse,165,1.0,8,1,0.05,reg:squarederror,hist,0.8,500,5,64
xgboost,0.080712358,22.075093569622016,0.9395004061738427,0,rmse,115,0.8,10,0,0.05,reg:squarederror,hist,0.4,500,5,64
xgboost,0.08490314,22.990937243108903,0.9341050636339022,0,rmse,191,0.4,8,10,0.05,reg:squarederror,hist,1.0,500,5,64
xgboost,0.063428339,25.103451197467667,0.9324329813160036,0,rmse,119,0.4,10,1,0.05,reg:squarederror,hist,0.4,500,5,64
xgboost,0.044613304,23.241250772224998,0.9370159761711349,0,rmse,189,0.4,4,10,0.05,reg:squarederror,hist,1.0,500,5,64
xgboost,0.111598006,23.662119261049174,0.9304156512320607,0,rmse,191,0.4,10,10,0.05,reg:squarederror,hist,1.0,500,5,64
