model_type,train_time,best_nround,mse,ndcg,num_class,eval_metric,colsample_bytree,max_depth,lambda,eta,objective,tree_method,subsample,num_round,early_stopping_rounds,max_bin
xgboost,5.967198256,69,0.5638916206842054,0.4929438628125671,0,rmse,0.6,10,1,0.05,reg:squarederror,hist,1.0,5000,5,128
xgboost,4.794286207,57,0.5663993372385444,0.49149145197431476,0,rmse,1.0,10,0,0.05,reg:squarederror,hist,0.4,5000,5,128
xgboost,4.769375782,126,0.5685468493801601,0.4904874777182281,0,rmse,0.4,6,10,0.05,reg:squarederror,hist,0.8,5000,5,128
xgboost,4.239046196,89,0.5658397126982644,0.49289766307132366,0,rmse,0.4,8,10,0.05,reg:squarederror,hist,0.8,5000,5,128
xgboost,4.178603625,86,0.5672657984230213,0.4915686384555955,0,rmse,0.6,8,0,0.05,reg:squarederror,hist,0.4,5000,5,128
xgboost,4.804915846,55,0.5663376920820212,0.49040086052555987,0,rmse,1.0,10,0,0.05,reg:squarederror,hist,0.8,5000,5,128
xgboost,3.592642408,69,0.567405713778797,0.49148751802697915,0,rmse,1.0,8,0,0.05,reg:squarederror,hist,0.8,5000,5,128
xgboost,5.777927386,194,0.5726878664616133,0.48214107679346374,0,rmse,1.0,4,10,0.05,reg:squarederror,hist,0.6,5000,5,128
xgboost,3.940727163,63,0.5685297565624782,0.4900234561562662,0,rmse,1.0,8,0,0.05,reg:squarederror,hist,0.6,5000,5,128
xgboost,4.154302562,86,0.566580333108955,0.4939192195452651,0,rmse,0.4,8,1,0.05,reg:squarederror,hist,0.6,5000,5,128
xgboost,4.82305059,69,0.5676265278572603,0.4927464424117693,0,rmse,0.4,10,0,0.05,reg:squarederror,hist,0.4,5000,5,128
xgboost,5.973076761,86,0.5645606857533371,0.4972027709063553,0,rmse,0.4,10,1,0.05,reg:squarederror,hist,0.4,5000,5,128
xgboost,3.485993316,93,0.5704631470874643,0.48642255683036817,0,rmse,0.8,6,10,0.05,reg:squarederror,hist,0.8,5000,5,128
xgboost,3.846684034,103,0.5701162172831559,0.4883810781280564,0,rmse,0.6,6,0,0.05,reg:squarederror,hist,0.4,5000,5,128
xgboost,4.179551961,93,0.5704933809724596,0.488820450102455,0,rmse,0.8,6,1,0.05,reg:squarederror,hist,0.4,5000,5,128
xgboost,3.84821343,62,0.5682294468148908,0.4900073183983493,0,rmse,1.0,8,1,0.05,reg:squarederror,hist,0.6,5000,5,128
