model_type,train_time,best_nround,logloss,accuracy,num_class,eval_metric,colsample_bytree,max_depth,lambda,eta,objective,tree_method,subsample,num_round,early_stopping_rounds,max_bin
xgboost,0.393506602,67,0.4362957,0.8059701492537313,0,logloss,1.0,6,0,0.05,reg:logistic,hist,1.0,1000,10,128
xgboost,0.080065409,414,0.4143918,0.7985074626865671,0,logloss,0.4,4,10,0.05,reg:logistic,hist,0.8,1000,10,128
xgboost,0.021472504,94,0.40904763,0.8134328358208955,0,logloss,1.0,4,0,0.05,reg:logistic,hist,0.6,1000,10,128
xgboost,0.045857557,128,0.38002464,0.8283582089552238,0,logloss,1.0,10,1,0.05,reg:logistic,hist,0.4,1000,10,128
xgboost,0.054833373,234,0.40415642,0.8208955223880597,0,logloss,0.6,4,10,0.05,reg:logistic,hist,0.6,1000,10,128
xgboost,0.038784095,101,0.3758001,0.8134328358208955,0,logloss,0.6,10,0,0.05,reg:logistic,hist,0.4,1000,10,128
xgboost,0.024291653,77,0.38631183,0.8134328358208955,0,logloss,0.8,6,1,0.05,reg:logistic,hist,0.8,1000,10,128
xgboost,0.021607558,54,0.40500873,0.8208955223880597,0,logloss,1.0,8,1,0.05,reg:logistic,hist,0.8,1000,10,128
xgboost,0.07062507,276,0.40868565,0.8134328358208955,0,logloss,0.6,10,10,0.05,reg:logistic,hist,0.4,1000,10,128
xgboost,0.046358177,191,0.41335037,0.7910447761194029,0,logloss,0.4,6,1,0.05,reg:logistic,hist,0.8,1000,10,128
xgboost,0.049623975,151,0.3921573,0.8208955223880597,0,logloss,0.8,8,10,0.05,reg:logistic,hist,1.0,1000,10,128
xgboost,0.030197646,79,0.38287938,0.8208955223880597,0,logloss,0.8,8,1,0.05,reg:logistic,hist,0.8,1000,10,128
xgboost,0.079927665,205,0.38958082,0.835820895522388,0,logloss,1.0,10,10,0.05,reg:logistic,hist,1.0,1000,10,128
xgboost,0.0188833,79,0.3991191,0.8134328358208955,0,logloss,0.8,4,0,0.05,reg:logistic,hist,0.8,1000,10,128
xgboost,0.035015009,104,0.37649918,0.8283582089552238,0,logloss,0.6,8,0,0.05,reg:logistic,hist,0.4,1000,10,128
xgboost,0.044131868,167,0.38636693,0.7835820895522388,0,logloss,0.6,6,1,0.05,reg:logistic,hist,0.4,1000,10,128
