model_type,train_time,best_nround,mse,ndcg,stack_size,ntrees,metric,batchsize,nrounds,hidden_size,wd,actA,loss,init_scale,device,early_stopping_rounds,hyper_id,lr,depth
neurotrees,266.70825915,32,0.5955960208210886,0.7822270912628171,1,128,mse,2048,200,16,0.0,identity,mse,1,gpu,3,1,0.0003,5
neurotrees,79.949139575,47,0.5966006921459365,0.781764843275284,1,128,mse,2048,200,16,0.0,identity,mse,1,gpu,3,2,0.0003,3
neurotrees,49.76022535,37,0.6011280589336835,0.780203028719687,1,64,mse,2048,200,16,0.0,identity,mse,1,gpu,3,3,0.0003,3
neurotrees,243.591678209,40,0.5935100105954445,0.7836289452126424,1,256,mse,2048,200,64,0.0,identity,mse,1,gpu,3,4,0.0003,4
neurotrees,72.82496078,33,0.5992814286044247,0.7812304288339802,1,64,mse,2048,200,32,0.0,identity,mse,1,gpu,3,5,0.0003,4
neurotrees,55.997537528,42,0.6010568370083482,0.779220578177889,1,64,mse,2048,200,64,0.0,identity,mse,1,gpu,3,6,0.0003,3
neurotrees,141.259188702,40,0.5962496445320583,0.7819780474553099,1,128,mse,2048,200,32,0.0,identity,mse,1,gpu,3,7,0.0003,4
neurotrees,48.920905793,36,0.6019521644596705,0.7801759052417294,1,64,mse,2048,200,32,0.0,identity,mse,1,gpu,3,8,0.0003,3
neurotrees,266.805725971,44,0.5936571630842055,0.7825787560761556,1,256,mse,2048,200,16,0.0,identity,mse,1,gpu,3,9,0.0003,4
neurotrees,94.279188214,40,0.5966948080227447,0.7824553425459381,1,256,mse,2048,200,32,0.0,identity,mse,1,gpu,3,10,0.0003,3
neurotrees,127.765072829,27,0.5993360610819595,0.7809450756243139,1,64,mse,2048,200,64,0.0,identity,mse,1,gpu,3,11,0.0003,5
neurotrees,73.308998498,33,0.5991681901009324,0.7802742898300661,1,64,mse,2048,200,64,0.0,identity,mse,1,gpu,3,12,0.0003,4
neurotrees,246.843470756,29,0.5950066585896867,0.7818175754189794,1,128,mse,2048,200,32,0.0,identity,mse,1,gpu,3,13,0.0003,5
neurotrees,552.145246785,35,0.5928499701718142,0.7828790036268287,1,256,mse,2048,200,64,0.0,identity,mse,1,gpu,3,14,0.0003,5
neurotrees,638.979457864,41,0.5926152111803189,0.7816985184297618,1,256,mse,2048,200,32,0.0,identity,mse,1,gpu,3,15,0.0003,5
neurotrees,294.668573014,35,0.5947367968187091,0.7813464811282538,1,128,mse,2048,200,64,0.0,identity,mse,1,gpu,3,16,0.0003,5
